KO_ID,Gene,u_halleri
unknown,,419901
K06236,COL1A,1572
K06770,myelin protein zero,2123
K06255,Heparan sulfate proteoglycan 2 (perlecan),291
K06238,COL6A,304
K05692,actin beta/gamma 1,3597
K02256,Cox1,15986
K06237,Col4A,396
K02262,Cox3,3933
K04437,filamin,2002
K03234,elongation factor 2,3007
K10388,plectin,585
K06115,Spectrin beta,2900
K06630,4-3-3 protein epsilon (YWHAE),795
K10429,MAP1,309
K03231,elongation factor 1-alpha,3741
K10413,dynein heavy chain 1,1146
K06826,nidogen (entactin),422
K05717,fibronectin 1,327
K07375,tubulin beta,669
K08023,latent transforming growth factor beta binding protein 2/3/4,552
K05637,"laminin, alpha 1/2",330
K01539,ATP1A,60
K07374,tubulin alpha,660
K10392,kinesin family member 1,514
K06249,reelin,1
K00522,ferritin heavy chain,1923
K04550,"low-density lipoprotein receptor-related protein 1 (  
LRP1, CD91)",819
K01104,protein-tyrosine phosphatase,973
K10366,dystrophin,491
K04628,ceramide galactosyltransferase,175
K10352,myosin heavy chain,756
K08770,ubiquitin C,1766
K06460,"CD9, TSPAN29",4
K06271,talin,116
K05635,"laminin, gamma 1",26
K10380,ankyrin,458
K03878,NADH-ubiquinone oxidoreductase chain 1,512
K05636,"laminin, beta 1",11
K13126,polyadenylate-binding protein,2458
K00412,ubiquinol-cytochrome c reductase cytochrome b subunit,493
K06114,spectrin alpha,1589
K05650,"ATP-binding cassette, subfamily A (ABC18)",0
K10382,dystonin,265
K02599,NOTCH1,317
K06087,claudin,50
K06265,dystroglycan 1,7
K03260,translation initiation factor 4G,221
K04646,clathrin heavy chain,490
K06771,myelin associated glycoprotein,2
K06778,receptor-type tyrosine-protein phosphatase S,117
K06107,erythrocyte membrane protein band 4.1,438
K04572,neurofilament light polypeptide,1
K09228,KRAB domain-containing zinc finger protein,2113
K04079,molecular chaperone HtpG,1590
K09828,Delta24-sterol reductase (lipid metab),1
K05768,gelsolin,351
K10595,E3 ubiquitin-protein ligase HERC2,509
K04660,decorin(TGF-beta signaling pathway),222
K06842,semaphorin 6,0
K01530,phospholipid-translocating ATPase,78
K01121,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",0
K06825,fibrillin 1,79
K10356,myosin I,454
K14945,protein quaking,555
K11840,ubiquitin carboxyl-terminal hydrolase 9/24,459
K03233,elongation factor 1-gamma,420
K06086,sorbin and SH3 domain containing 1,91
K03881,NADH-ubiquinone oxidoreductase chain 4,102
K05719,integrin beta 1,193
K05701,tight junction protein 1 (ZO1),103
K07605,"type II keratin, basic",359
K15377,solute carrier family 44 (choline transporter-like protein),431
K13162,poly(rC)-binding protein 2,741
K00799,glutathione S-transferase,927
K04379,c-Fos,1
K12382,saposin,862
K09299,zinc finger homeobox protein 1/2       ZEB1-2,479
K02183,calmodulin,316
K08867,WNK lysine deficient protein kinase ,238
K01623, fructose-bisphosphate aldolase (ALDO),328
K06252,tenascin,525
K14753,RACK1,711
K03283,heat shock 70kDa protein (HSP),272
K06823,COL18A,2
K04985,polycystin 1 (PDK1),51
K07604,type I keratin,110
K06840,semaphorin 3,282
K10691,E3 ubiquitin-protein ligase UBR4,233
K08132,COL12A,182
K03884,NADH-ubiquinone oxidoreductase chain 6,19
K02930,large subunit ribosomal protein L4e,1366
K09270,transcription factor SOX7/8/10/18,204
K06525,integrin beta 4,8
K09580,protein disulfide-isomerase A1,198
K05850,"Ca2+ transporting ATPase, plasma membrane",3
K06101,histone-lysine N-methyltransferase ASH1L,220
K00873,pyruvate kinase,282
K05757,"actin related protein 2/3 complex, subunit 1A/1B",405
K06757,neurofascin,172
K13811,3'-phosphoadenosine 5'-phosphosulfate synthase,92
