Markers,KO_ID
Prdm12,K24255
Ahnak2,K23934
Samsn1,K23707
Rarres1,K23595
Il31ra,K22630
Piezo2,K22128
Trappc3l,K20302
Gfra3,K19895
Isl2,K18492
Ppm1j,K17504
Gpsm3,K15838
Tlx3,K15607
Slc34a2,K14683
Nppb,K12335
Calca,K12332
Calcb,K12332
VGLUT3,K12302 
Aqp1,K09864
Mrgpra3,K08396
Mrgprd,K08392
Runx1,K08367
PlxnC1,K06572 
Angpt4,K05467
Tac1,K05239
SST,K05237
Trpv1,K05222
P2x3,K05217
RET,K05126
KIT,K05091
TrpA1,K04984
TrpC3,K04966
Nav1.8,K04842
Asic3,K04830
Chrna6,K04808
Nefh,K04574
Nefm,K04573
Lpar3,K04294
Ptgir,K04263
Ptgfr,K04262
Fbp2,K03841 
TrkA,K03176
Cpb1,K01291
