Experimenter,Exp_Date,Mag,Cell_Number,Length_1,Length_2,Avg_Dia_px,Avg_Dia_um,Cell_count
LA,20191127_Tac1_3A10,20,1,35.4,22.7,29.0,9.1,1
LA,20191127_Tac1_3A10,20,2,26.6,27.9,27.2,8.5,2
LA,20191127_Tac1_3A10,20,3,18.6,13.6,16.1,5.0,3
LA,20191127_Tac1_3A10,20,4,21.9,24.7,23.3,7.3,4
LA,20191127_Tac1_3A10,20,5,33.1,30.0,31.5,9.9,5
LA,20191127_Tac1_3A10,20,6,25.3,15.4,20.4,6.4,6
LA,20191127_Tac1_3A10,20,7,21.3,26.2,23.7,7.4,7
LA,20191127_Tac1_3A10,20,8,23.2,26.3,24.8,7.7,8
LA,20191127_Tac1_3A10,20,9,23.9,39.3,31.6,9.9,9
LA,20191127_Tac1_3A10,20,10,27.5,24.6,26.1,8.1,10
LA,20191127_Tac1_3A10,20,11,27.2,21.3,24.2,7.6,11
LA,20191127_Tac1_3A10,20,12,25.4,19.2,22.3,7.0,12
LA,20191127_Tac1_3A10,20,13,24.6,14.9,19.8,6.2,13
LA,20191127_Tac1_3A10,20,14,25.9,23.6,24.7,7.7,14
LA,20191127_Tac1_3A10,20,15,23.0,18.7,20.8,6.5,15
LA,20191127_Tac1_3A10,20,16,13.2,16.8,15.0,4.7,16
LA,20191127_Tac1_3A10,20,17,12.3,29.0,20.7,6.5,17
LA,20191127_Tac1_3A10,20,18,28.2,30.0,29.1,9.1,18
LA,20191127_Tac1_3A10,20,19,22.3,23.0,22.6,7.1,19
LA,20191127_Tac1_3A10,20,20,23.5,14.8,19.1,6.0,20
LA,20191127_Tac1_3A10,20,21,26.8,22.7,24.8,7.7,21
LA,20191127_Tac1_3A10,20,22,24.9,24.1,24.5,7.7,22
LA,20191127_Tac1_3A10,20,23,23.6,19.9,21.8,6.8,23
LA,20191127_Tac1_3A10,20,24,20.4,19.6,20.0,6.2,24
LA,20191127_Tac1_3A10,20,25,23.3,24.5,23.9,7.5,25
LA,20191127_Tac1_3A10,20,26,21.0,20.6,20.8,6.5,26
LA,20191127_Tac1_3A10,20,27,29.4,26.9,28.1,8.8,27
LA,20191127_Tac1_3A10,20,28,24.8,27.6,26.2,8.2,28
LA,20191127_Tac1_3A10,20,29,23.5,32.0,27.8,8.7,29
LA,20191127_Tac1_3A10,20,30,30.9,16.9,23.9,7.5,30
LA,20191127_Tac1_3A10,20,31,27.5,32.6,30.1,9.4,31
LA,20191127_Tac1_3A10,20,32,27.7,22.5,25.1,7.8,32
LA,20191127_Tac1_3A10,20,33,16.8,22.4,19.6,6.1,33
LA,20191127_Tac1_3A10,20,34,22.3,33.2,27.7,8.7,34
LA,20191127_Tac1_3A10,20,35,43.0,22.5,32.7,10.2,35
LA,20191127_Tac1_3A10,20,36,16.5,24.9,20.7,6.5,36
LA,20191127_Tac1_3A10,20,37,34.9,38.6,36.7,11.5,37
LA,20191127_Tac1_3A10,20,38,21.0,22.2,21.6,6.7,38
LA,20191127_Tac1_3A10,20,39,19.9,25.6,22.7,7.1,39
LA,20191127_Tac1_3A10,20,40,23.8,25.7,24.7,7.7,40
LA,20191127_Tac1_3A10,20,41,25.3,24.5,24.9,7.8,41
LA,20191127_Tac1_3A10,20,42,14.1,14.0,14.0,4.4,42
LA,20191127_Tac1_3A10,20,43,15.4,16.4,15.9,5.0,43
LA,20191127_Tac1_3A10,20,44,32.5,23.8,28.1,8.8,44
LA,20191127_Tac1_3A10,20,45,21.6,21.6,21.6,6.7,45
LA,20191127_Tac1_3A10,20,46,15.1,16.5,15.8,4.9,46
LA,20191127_Tac1_3A10,20,47,22.6,20.3,21.5,6.7,47
LA,20191127_Tac1_3A10,20,48,13.8,28.9,21.4,6.7,48
LA,20191127_Tac1_3A10,20,49,23.0,15.5,19.2,6.0,49
LA,20191127_Tac1_3A10,20,50,23.1,24.0,23.6,7.4,50
LA,20191127_Tac1_3A10,20,51,18.0,34.0,26.0,8.1,51
LA,20191127_Tac1_3A10,20,52,22.6,21.7,22.1,6.9,52
LA,20191127_Tac1_3A10,20,53,17.5,14.7,16.1,5.0,53
LA,20191127_Tac1_3A10,20,54,21.0,22.0,21.5,6.7,54
LA,20191127_Tac1_3A10,20,55,23.5,25.4,24.5,7.6,55
