Experimenter,Exp_Date,Mag,Cell_Number,Length_1,Length_2
LA,20210323_Chilo_Head_P2X3_AceTub,20,1,17.33,17.33
LA,20210323_Chilo_Head_P2X3_AceTub,20,2,18.076,18.878
LA,20210323_Chilo_Head_P2X3_AceTub,20,3,15.491,15.357
LA,20210323_Chilo_Head_P2X3_AceTub,20,4,13.204,14.799
LA,20210323_Chilo_Head_P2X3_AceTub,20,5,15.412,14.593
LA,20210323_Chilo_Head_P2X3_AceTub,20,6,12.155,11.95
LA,20210323_Chilo_Head_P2X3_AceTub,20,7,14.799,15.271
LA,20210323_Chilo_Head_P2X3_AceTub,20,8,16.218,14.975
LA,20210323_Chilo_Head_P2X3_AceTub,20,9,11.233,11.899
LA,20210323_Chilo_Head_P2X3_AceTub,20,10,18.159,15.952
LA,20210323_Chilo_Head_P2X3_AceTub,20,11,16.708,13.292
LA,20210323_Chilo_Head_P2X3_AceTub,20,12,17.298,15.72
LA,20210323_Chilo_Head_P2X3_AceTub,20,13,15.94,14.43
LA,20210323_Chilo_Head_P2X3_AceTub,20,14,17.958,19.187
LA,20210323_Chilo_Head_P2X3_AceTub,20,15,15.662,15.617
LA,20210323_Chilo_Head_P2X3_AceTub,20,16,17.532,14.816
LA,20210323_Chilo_Head_P2X3_AceTub,20,17,15.851,15.911
LA,20210323_Chilo_Head_P2X3_AceTub,20,18,14.843,17.181
LA,20210323_Chilo_Head_P2X3_AceTub,20,19,12.089,12.506
LA,20210323_Chilo_Head_P2X3_AceTub,20,20,15.478,14.593
LA,20210323_Chilo_Head_P2X3_AceTub,20,21,14.863,12.603
LA,20210323_Chilo_Head_P2X3_AceTub,20,22,14.73,16.274
LA,20210323_Chilo_Head_P2X3_AceTub,20,23,11.588,15.943
LA,20210323_Chilo_Head_P2X3_AceTub,20,24,15.547,12.42
LA,20210323_Chilo_Head_P2X3_AceTub,20,25,13.428,13.828
LA,20210323_Chilo_Head_P2X3_AceTub,20,26,15.817,17.304
LA,20210323_Chilo_Head_P2X3_AceTub,20,27,11.226,10.677
LA,20210323_Chilo_Head_P2X3_AceTub,20,28,13.04,13.001
LA,20210323_Chilo_Head_P2X3_AceTub,20,29,17.009,13.198
LA,20210323_Chilo_Head_P2X3_AceTub,20,30,15.62,17.33
LA,20210323_Chilo_Head_P2X3_AceTub,20,31,12.708,12.41
LA,20210323_Chilo_Head_P2X3_AceTub,20,32,16.113,16.862
LA,20210323_Chilo_Head_P2X3_AceTub,20,33,15.189,13.19
LA,20210323_Chilo_Head_P2X3_AceTub,20,34,15.265,13.914
LA,20210323_Chilo_Head_P2X3_AceTub,20,35,17.278,16.649
LA,20210323_Chilo_Head_P2X3_AceTub,20,36,12.474,11.579
LA,20210323_Chilo_Head_P2X3_AceTub,20,37,14.506,13.27
LA,20210323_Chilo_Head_P2X3_AceTub,20,38,16.238,17.468
LA,20210323_Chilo_Head_P2X3_AceTub,20,39,18.485,18.099
LA,20210323_Chilo_Head_P2X3_AceTub,20,40,15.734,18.099
LA,20210323_Chilo_Head_P2X3_AceTub,20,41,15.56,15.122
LA,20210323_Chilo_Head_P2X3_AceTub,20,42,18.841,17.43
LA,20210323_Chilo_Head_P2X3_AceTub,20,43,13.074,11.828
LA,20210323_Chilo_Head_P2X3_AceTub,20,44,17.478,16.016
LA,20210323_Chilo_Head_P2X3_AceTub,20,45,16.824,16.19
LA,20210323_Chilo_Head_P2X3_AceTub,20,46,17.787,15.861
LA,20210323_Chilo_Head_P2X3_AceTub,20,47,18.46,17.395
LA,20210323_Chilo_Head_P2X3_AceTub,20,48,16.897,16.162
LA,20210323_Chilo_Head_P2X3_AceTub,20,49,12.397,11.916
LA,20210323_Chilo_Head_P2X3_AceTub,20,50,17.051,17.207
LA,20210323_Chilo_Head_P2X3_AceTub,20,51,16.197,16.89
LA,20210323_Chilo_Head_P2X3_AceTub,20,52,18.051,15.8
LA,20210323_Chilo_Head_P2X3_AceTub,20,53,21.308,19.927
LA,20210323_Chilo_Head_P2X3_AceTub,20,54,15.245,14.395
LA,20210323_Chilo_Head_P2X3_AceTub,20,55,22.787,17.07
LA,20210323_Chilo_Head_P2X3_AceTub,20,56,17.278,15.633
LA,20210323_Chilo_Head_P2X3_AceTub,20,57,17.744,12.333
LA,20210323_Chilo_Head_P2X3_AceTub,20,58,16.094,12.732
LA,20210323_Chilo_Head_P2X3_AceTub,20,59,19.927,18.319
LA,20210323_Chilo_Head_P2X3_AceTub,20,60,12.559,12.643
LA,20210323_Chilo_Head_P2X3_AceTub,20,61,16.98,13.089
LA,20210323_Chilo_Head_P2X3_AceTub,20,62,15.461,14.197
LA,20210323_Chilo_Head_P2X3_AceTub,20,63,17.792,14.286
LA,20210323_Chilo_Head_P2X3_AceTub,20,64,20.221,15.771
LA,20210323_Chilo_Head_P2X3_AceTub,20,65,15.429,14.843
LA,20210323_Chilo_Head_P2X3_AceTub,20,66,17.641,12.643
LA,20210323_Chilo_Head_P2X3_AceTub,20,67,23.716,22.488
LA,20210323_Chilo_Head_P2X3_AceTub,20,68,19.481,20.502
LA,20210323_Chilo_Head_P2X3_AceTub,20,69,17.207,20.751
LA,20210323_Chilo_Head_P2X3_AceTub,20,70,13.648,13.469
LA,20210323_Chilo_Head_P2X3_AceTub,20,71,13.246,16.377
LA,20210323_Chilo_Head_P2X3_AceTub,20,72,20.084,19.104
LA,20210323_Chilo_Head_P2X3_AceTub,20,73,17.486,19.593
LA,20210323_Chilo_Head_P2X3_AceTub,20,74,18.979,20.576
LA,20210323_Chilo_Head_P2X3_AceTub,20,75,24.531,16.985
IM,20201015_Chilo_Head_RunX1_Acetub,20,1,15.762,25.446
IM,20201015_Chilo_Head_RunX1_Acetub,20,2,13.947,9.471
IM,20201015_Chilo_Head_RunX1_Acetub,20,3,12.418,11.183
IM,20201015_Chilo_Head_RunX1_Acetub,20,4,13.476,13.031
IM,20201015_Chilo_Head_RunX1_Acetub,20,5,14.809,15.291
IM,20201015_Chilo_Head_RunX1_Acetub,20,6,13.454,12.698
IM,20201015_Chilo_Head_RunX1_Acetub,20,7,19.469,11.473
IM,20201015_Chilo_Head_RunX1_Acetub,20,8,10.947,13.212
IM,20201015_Chilo_Head_RunX1_Acetub,20,9,12.155,12.365
IM,20201015_Chilo_Head_RunX1_Acetub,20,10,11.814,11.088
IM,20201015_Chilo_Head_RunX1_Acetub,20,11,10.413,11.002
IM,20201015_Chilo_Head_RunX1_Acetub,20,12,14.985,11.887
IM,20201015_Chilo_Head_RunX1_Acetub,20,13,14.055,10.179
IM,20201015_Chilo_Head_RunX1_Acetub,20,14,11.625,14.843
IM,20201015_Chilo_Head_RunX1_Acetub,20,15,19.284,9.423
IM,20201015_Chilo_Head_RunX1_Acetub,20,16,14.634,11.814
IM,20201015_Chilo_Head_RunX1_Acetub,20,17,13.654,17.874
IM,20201015_Chilo_Head_RunX1_Acetub,20,18,10.812,10.302
IM,20201015_Chilo_Head_RunX1_Acetub,20,19,12.572,13.436
IM,20201015_Chilo_Head_RunX1_Acetub,20,20,15.424,11.861
IM,20201015_Chilo_Head_RunX1_Acetub,20,21,10.672,11.98
IM,20201015_Chilo_Head_RunX1_Acetub,20,22,12.552,14.724
IM,20201015_Chilo_Head_RunX1_Acetub,20,23,9.796,15.906
IM,20201015_Chilo_Head_RunX1_Acetub,20,24,11.304,12.382
IM,20201015_Chilo_Head_RunX1_Acetub,20,25,11.224,11.46
IM,20201015_Chilo_Head_RunX1_Acetub,20,26,16.613,14.44
IM,20201015_Chilo_Head_RunX1_Acetub,20,27,8.533,18.051
IM,20201015_Chilo_Head_RunX1_Acetub,20,28,8.194,11.446
IM,20201015_Chilo_Head_RunX1_Acetub,20,29,10.794,17.532
IM,20201015_Chilo_Head_RunX1_Acetub,20,30,21.343,18.579
IM,20201015_Chilo_Head_RunX1_Acetub,20,31,18.039,10.164
IM,20201015_Chilo_Head_RunX1_Acetub,20,32,11.933,13.925
IM,20201015_Chilo_Head_RunX1_Acetub,20,33,11.233,13.783
IM,20201015_Chilo_Head_RunX1_Acetub,20,34,14.537,11.107
IM,20201015_Chilo_Head_RunX1_Acetub,20,35,17.434,11.088
IM,20201015_Chilo_Head_RunX1_Acetub,20,36,12.95,12.213
IM,20201015_Chilo_Head_RunX1_Acetub,20,37,14.156,21.398
IM,20201015_Chilo_Head_RunX1_Acetub,20,38,9.8,13.436
IM,20201015_Chilo_Head_RunX1_Acetub,20,39,9.338,11.111
IM,20201015_Chilo_Head_RunX1_Acetub,20,40,15.496,10.692
IM,20201015_Chilo_Head_RunX1_Acetub,20,41,6.174,10.045
IM,20201015_Chilo_Head_RunX1_Acetub,20,42,13.051,11.673
IM,20201015_Chilo_Head_RunX1_Acetub,20,43,13.581,15.324
IM,20201015_Chilo_Head_RunX1_Acetub,20,44,17.115,9.718
IM,20201015_Chilo_Head_RunX1_Acetub,20,45,17.084,12.281
IM,20201015_Chilo_Head_RunX1_Acetub,20,46,13.275,13.983
IM,20201015_Chilo_Head_RunX1_Acetub,20,47,9.818,12.99
IM,20201015_Chilo_Head_RunX1_Acetub,20,48,10.191,10.387
IM,20201015_Chilo_Head_RunX1_Acetub,20,49,11.527,9.729
IM,20201015_Chilo_Head_RunX1_Acetub,20,50,11.189,14.255
IM,20201015_Chilo_Head_RunX1_Acetub,20,51,11.026,15.721
IM,20201015_Chilo_Head_RunX1_Acetub,20,52,13.695,10.55
IM,20201015_Chilo_Head_RunX1_Acetub,20,53,16.492,13.246
IM,20201015_Chilo_Head_RunX1_Acetub,20,54,0,11.845
IM,20201015_Chilo_Head_RunX1_Acetub,20,55,26.064,17.973
IM,20201015_Chilo_Head_RunX1_Acetub,20,56,9.55,18.192
IM,20201015_Chilo_Head_RunX1_Acetub,20,57,11.02,16.425
IM,20201015_Chilo_Head_RunX1_Acetub,20,58,10.667,11.916
IM,20201015_Chilo_Head_RunX1_Acetub,20,59,13.016,15.334
IM,20201015_Chilo_Head_RunX1_Acetub,20,60,14.478,10.812
IM,20201015_Chilo_Head_RunX1_Acetub,20,61,9.228,7.75
IM,20201015_Chilo_Head_RunX1_Acetub,20,62,14.478,12.643
IM,20201015_Chilo_Head_RunX1_Acetub,20,63,12.418,5.553
