exp,species,dev_stage,tissue,area,x,y,perimeter
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,140.79,13.65,14.92,43.26
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,94.73,10.79,12.06,35.13
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,111.36,13.33,11.11,38.39
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,101.08,13.02,11.11,36.49
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,124.4,12.06,13.02,40.37
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,130.69,13.02,13.02,41.43
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,106.02,11.11,12.7,37.4
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,157.06,13.65,15.56,45.46
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,329.98,26.03,17.78,67.64
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,192.52,25.08,22.54,71.51
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,130.26,13.97,13.02,42.41
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,176.3,14.92,16.19,50.18
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,131.1,13.97,13.33,42.25
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,144.96,14.6,13.33,43.99
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,178.9,17.46,14.29,49.77
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,152.24,15.87,11.75,45.69
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,109.66,12.7,12.06,38.28
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,58.31,9.52,7.94,27.89
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,127.37,12.06,14.29,41.07
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,81.3,10.16,10.79,33.17
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,85.52,12.06,8.89,34.2
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,112.79,13.65,11.43,38.79
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,134.18,13.97,13.33,42.97
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,113.36,12.7,12.38,39.34
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,144.18,13.97,14.29,44.7
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,138.5,15.56,13.33,45.02
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,122.01,11.75,15.24,41.28
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,112.15,14.6,10.48,39.22
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,138.24,18.41,11.11,45.96
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,185.13,14.29,17.14,49.74
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,105.86,17.14,9.52,41.85
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,116.7,10.79,15.56,41.04
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,152.17,13.97,15.56,46.26
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,121.4,14.6,11.11,40.41
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,168.06,18.41,13.65,48.67
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,77.92,10.48,10.16,32.19
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,159.15,18.1,13.02,49.1
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,203.23,16.83,17.14,52.4
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,157.76,14.6,13.97,45.79
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,178.13,17.14,13.97,48.55
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,154.2,17.46,10.79,46.63
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,183.57,14.92,17.14,49.42
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,169.16,15.24,15.24,49.18
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,87.85,12.7,10.16,34.82
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,168.12,15.24,16.83,51.75
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,165.8,13.65,17.46,47.67
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,112.56,12.38,14.29,40.8
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,91.83,12.06,10.79,35.21
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,59.93,8.57,9.84,28.62
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,144.92,15.56,12.7,44.6
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,133.1,14.6,13.65,43.12
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,213.75,18.73,15.87,53.74
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,165.74,16.51,14.92,48.8
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,43.09,7.3,8.57,24.91
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,140.33,16.83,13.33,46.55
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,228.36,18.1,17.46,56.59
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,156.05,14.6,14.6,45.09
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,186.17,13.65,19.05,51.45
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,136.56,13.33,13.65,42.58
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,218.67,18.73,15.56,53.49
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,163.62,20.32,12.7,50.73
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,125.63,14.92,11.11,41.15
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,142.9,13.97,17.46,47.28
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,117.23,14.92,13.65,43.24
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,116.6,12.38,13.02,39.52
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,153.47,14.92,13.97,45.03
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,131.4,14.92,11.75,41.96
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,193.85,17.14,13.65,51.46
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,136.37,17.46,10.79,46.3
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,128.58,15.87,10.48,42.45
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,124.11,13.65,12.7,41.4
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,124.22,17.46,9.52,43.9
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,156.62,17.14,11.43,46.16
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,253.07,20.32,17.78,59.03
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,218.45,19.37,14.29,54
AceTub-488 P2X3-594 20x 2 ,Cat shark,Pre-hatch,DRG,110.74,16.19,9.52,40.84
