Query,Desc,Query_cover,E_value,Perc_Identiy,Acc_Length,Accession
"Mus musculus ISL1 transcription factor, LIM/homeodomain (Isl1), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_61113, whole genome shotgu...",40%,6.00E-70,80.69,5305,AESE010061051.1
"Mus musculus ISL1 transcription factor, LIM/homeodomain (Isl1), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2722528, whole genome...",11%,8.00E-62,78.62,847,AESE012559454.1
"Mus musculus ISL1 transcription factor, LIM/homeodomain (Isl1), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_63194, whole genome shotgu...",15%,1.00E-47,83.42,3693,AESE010063132.1
"Mus musculus ISL1 transcription factor, LIM/homeodomain (Isl1), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2812892, whole genome...",7%,6.00E-38,80.11,465,AESE012649329.1
"Mus musculus ISL1 transcription factor, LIM/homeodomain (Isl1), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_2666245, whole genome…",15%,3.00E-35,75.22,1950,AESE012503171.1  
"Mus musculus neurofilament, medium polypeptide (Nefm), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1639509, whole genome...",33%,0,74.84,2022,AESE011519007.1
"Mus musculus neurofilament, medium polypeptide (Nefm), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_161889, whole genome shotg...",6%,2.00E-27,73.54,656,AESE010161826.1
"Mus musculus neurofilament, medium polypeptide (Nefm), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1323399, whole genome...",4%,1.00E-23,80,269,AESE011267114.1
"Mus musculus neurofilament, medium polypeptide (Nefm), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_1597644, whole genome...  ",10%,1.00E-21,74.33,8924,AESE011477142.1
"Mus musculus neurofilament, medium polypeptide (Nefm), mRNA","Leucoraja erinacea LER_WGS_1_CONTIG_463697, whole genome shotg...",2%,8.00E-19,85.39,275,AESE010461420.1
