Query,Desc,Query_cover,E_value,Perc_Identiy,Acc_Length,Accession
"Mus musculus ISL1 transcription factor, LIM/homeodomain (Isl1), mRNA","Scyliorhinus canicula genome assembly, contig:...",56%,1.00E-70,81.03,275250,CACTIS0200042... 
"Mus musculus ISL1 transcription factor, LIM/homeodomain (Isl1), mRNA","Scyliorhinus canicula genome assembly, contig:...",14%,2.00E-31,75.35,172534,CACTIS0200191... 
"Mus musculus ISL1 transcription factor, LIM/homeodomain (Isl1), mRNA","Scyliorhinus canicula genome assembly, contig:...",3%,0.003,74.07,340649,CACTIS0200090... 
"Mus musculus ISL1 transcription factor, LIM/homeodomain (Isl1), mRNA","Scyliorhinus canicula genome assembly, contig:...",1%,0.009,89.19,370837,CACTIS0200152... 
"Mus musculus ISL1 transcription factor, LIM/homeodomain (Isl1), mRNA","Scyliorhinus canicula genome assembly, contig:...",1%,0.009,94.12,105453,CACTIS0200088... 
"Mus musculus neurofilament, medium polypeptide (Nefm), mRNA","Scyliorhinus canicula genome assembly, contig:…",27%,1.00E-53,67.02,332077,CACTIS0200156... 
"Mus musculus neurofilament, medium polypeptide (Nefm), mRNA","Scyliorhinus canicula genome assembly, contig:...",28%,6.00E-51,66.54,303679,CACTIS0200073... 
"Mus musculus neurofilament, medium polypeptide (Nefm), mRNA","Scyliorhinus canicula genome assembly, contig:...",24%,1.00E-26,64.36,219239,CACTIS0200146... 
"Mus musculus neurofilament, medium polypeptide (Nefm), mRNA","Scyliorhinus canicula genome assembly, contig:...",26%,6.00E-19,63.71,31927,CACTIS0200262... 
"Mus musculus neurofilament, medium polypeptide (Nefm), mRNA","Scyliorhinus canicula genome assembly, contig:...",8%,6.00E-19,70.85,149108,CACTIS0200189... 
"Mus musculus neurogenin 1 (Neurog1), mRNA","Scyliorhinus canicula genome assembly, contig:...",36%,1.00E-42,83.24,383907,CACTIS0200053... 
"Mus musculus neurogenin 1 (Neurog1), mRNA","Scyliorhinus canicula genome assembly, contig:...",11%,1.00E-37,79.37,502813,CACTIS0200123... 
"Mus musculus neurogenin 1 (Neurog1), mRNA","Scyliorhinus canicula genome assembly, contig:...",10%,5.00E-36,79.03,339312,CACTIS0200014... 
"Mus musculus neurogenin 1 (Neurog1), mRNA","Scyliorhinus canicula genome assembly, contig:...",2%,0.002,83.33,168648,CACTIS0200053... 
"Mus musculus neurogenin 1 (Neurog1), mRNA","Scyliorhinus canicula genome assembly, contig:...",2%,0.002,86.05,302494,CACTIS0200032... 
"Mus musculus neurogenin 2 (Neurog2), mRNA","Scyliorhinus canicula genome assembly, contig:...",32%,6.00E-55,84.58,339312,CACTIS0200014... 
"Mus musculus neurogenin 2 (Neurog2), mRNA","Scyliorhinus canicula genome assembly, contig:...",8%,1.00E-38,80.11,502813,CACTIS0200123... 
"Mus musculus neurogenin 2 (Neurog2), mRNA","Scyliorhinus canicula genome assembly, contig:...",11%,9.00E-34,77.32,383907,CACTIS0200053... 
"Mus musculus neurogenin 2 (Neurog2), mRNA","Scyliorhinus canicula genome assembly, contig:...",2%,0.002,81.48,84101,CACTIS0200084... 
"Mus musculus neurogenin 2 (Neurog2), mRNA","Scyliorhinus canicula genome assembly, contig:...",2%,0.008,79.31,210765,CACTIS0200144... 
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 1 (Ntrk1)","Scyliorhinus canicula genome assembly, contig:...",6%,6.00E-37,82.5,25229,CACTIS0200147... 
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 1 (Ntrk1)","Scyliorhinus canicula genome assembly, contig:...",21%,7.00E-30,79.38,510005,CACTIS0200104... 
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 1 (Ntrk1)","Scyliorhinus canicula genome assembly, contig:...",6%,2.00E-23,74.05,56106,CACTIT0200005... 
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 1 (Ntrk1)","Scyliorhinus canicula genome assembly, contig:...",7%,5.00E-19,73.02,60342,CACTIS0200147... 
"PREDICTED: Mus musculus neurotrophic tyrosine kinase, receptor, type 1 (Ntrk1)","Scyliorhinus canicula genome assembly, contig:...",7%,8.00E-10,68.21,360429,CACTIS0200150... 
"Mus musculus neurotrophic tyrosine kinase, receptor, type 2 (Ntrk2), transcript variant X4, mRNA","Scyliorhinus canicula genome assembly, contig:...",1%,2.00E-07,68.56,149096,CACTIS0200104... 
"Mus musculus neurotrophic tyrosine kinase, receptor, type 2 (Ntrk2), transcript variant X4, mRNA","Scyliorhinus canicula genome assembly, contig:...",0%,2.00E-05,74.75,170518,CACTIS0200075... 
"Mus musculus neurotrophic tyrosine kinase, receptor, type 2 (Ntrk2), transcript variant X4, mRNA","Scyliorhinus canicula genome assembly, contig:...",0%,0.001,77.14,63144,CACTIS0200246... 
"Mus musculus neurotrophic tyrosine kinase, receptor, type 2 (Ntrk2), transcript variant X4, mRNA","Scyliorhinus canicula genome assembly, contig:...",0%,0.001,82.76,235993,CACTIS0200064... 
"Mus musculus neurotrophic tyrosine kinase, receptor, type 2 (Ntrk2), transcript variant X4, mRNA","Scyliorhinus canicula genome assembly, contig:...",0%,0.001,80.88,180458,CACTIS0200061... 
" Mus musculus PR domain containing 12 (Prdm12), mRNA","Scyliorhinus canicula genome assembly, contig:...",22%,5.00E-95,87.72,73005,CACTIS0200237... 
" Mus musculus PR domain containing 12 (Prdm12), mRNA","Scyliorhinus canicula genome assembly, contig:...",8%,2.00E-11,73.76,1780665,CACTIT0200003... 
